method,K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,jaccard_mean,jaccard_std,n_runs,objective_norm_mean
greedy,9,1.0,2.0,0.05,8.999999998149441,6.15836983443108e-11,0.0833333333333333,0.0589255650988789,3,0.250000000034718
qaoa,6,0.5,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,0.5,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,0.5,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,1.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,1.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,1.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,2.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,2.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,6,2.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,0.5,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,0.5,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,0.5,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,1.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,1.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,1.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,2.0,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,2.0,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,9,2.0,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,0.5,0.5,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,0.5,1.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
qaoa,12,0.5,2.0,0.0,-990.0,0.0,0.7777777777777777,0.1571348402636772,3,0.9999999999999608
